Q No.,CAT TAGS,QUESTION,A,B,C,D,CORRECT OPTION
20,02: Formulating research question,Which of the following is NOT a step in framing an ideal research question?,Literature review,Peer review,Broadening the initial question,Defining measurable outcomes,C
21,03: Literature review,Which of the following is INCORRECT about literature review for a proposed study?,Begins with a systematic literature search,Involves critical appraisal of retrieved studies,Presents existing knowledge concisely,Guides the findings of the proposed study,D
22,03: Literature review,A researcher conducts a review of literature to identify a set of potentially useful articles and books related to their research topic. This process is known as-,Indexing,Critical appraisal,Data management,Information seeking,D
23,03: Literature review,Literature review is a well thought out and organised search for all literature published on a particular topic in a library or online database.,TRUE,FALSE,,,B
24,03: Literature review,“What is the burden of gastroenteritis among children?”,Gastroenteritis OR children,Gastroenteritis AND children,Gastroenteritis BUT children,Gastroenteritis NOT children,B
25,03: Literature review,Which of the following Boolean operator will give the highest number of results when used between two given search terms?,AND,NOT,OR,ALL,C
26,03: Literature review,A researcher wants to study the effect of physical activity on reduction of systolic blood pressure among patients with hypertension. The researcher has identified a subset of document which are most relevant to the research question within a large document collection. This process is known as-,Information management,Critical appraisal,Information retrieval,Literature organization,C
27,03: Literature review,"The organized collection of articles, abstracts, scientific proceedings, books, and citations used for the purpose of literature review, is known as-",Database,Data management,Critical appraisal,Index,A
28,03: Literature review,Which of the following does not satisfy the ethical principles in conducting a literature review?,Results of previous studies are presented without distortion,Weaknesses of previous studies are highlighted,Previous studies are accurately cited,Reputation of study authors are questioned,D
29,03: Literature review,For which of the following purpose is the Boolean operator ‘OR’ commonly used in literature search?,Connecting synonyms of one key concept,Connecting different key concepts,Connecting keywords which need to be excluded,Connecting keywords to narrow down the results,A
30,03: Literature review,Medical Subject Headings is a controlled vocabulary thesaurus used for indexing articles in,PubMed,Google scholar,Scopus,Health on Net,A
31,04: Measures of disease frequency,"In a rural block with 1,00,000 population, 250 residents were identified with cardiovascular disease. Calculate the prevalence of cardiovascular disease per 1000 population.",0.2,0.5,2.5,25,C
32,04: Measures of disease frequency,What is the appropriate epidemiologic measure to determine the burden of a disease in terms of number of cases present in a specified geographical area at a specific point in time?,Cumulative Incidence,Point Prevalence,Incidence rate,Case fatality ratio,B
33,04: Measures of disease frequency,"In a study, 300 children were followed up for a period of one year to determine the burden of acute respiratory infections (ARI). Calculate the incidence density if the total number of ARI episodes recorded was 1500.",5 episodes per child year,0.2 episodes per child year,3 episodes per child year,0.5 episodes per child year,A
34,04: Measures of disease frequency,"100 people with hypertension are followed up for 5 years to observe for development of myocardial infarction. At the end of second year 5 people develop myocardial infarction, at the end of third year another 2 people develop myocardial infarction and at the end of five years 3 people develop myocardial infarction. Calculate the incidence rate of myocardial infarction.",10 cases per five person-years,10 percentage,10/481 cases per person-year,10/500 cases per person-year,C
35,04: Measures of disease frequency,"During a one-year follow-up, a psychiatrist determined the burden of suicidal ideation among 100 patients with drug addiction. Seven patients had previous history of suicidal ideation and 20 patients developed it for the first time. What is the incidence of suicidal ideation in the study population?",7% per year,20% per year,21.5% per year,27 per year,C
36,04: Measures of disease frequency,"In a food poisoning outbreak, 75 people were affected. Among them, 50 were hospitalized, and two died. Calculate the case-fatality ratio.",1.20%,2.70%,4%,8%,B
37,04: Measures of disease frequency,Which of the following is not required for calculating prevalence of a disease?,Pre-existing cases of the disease,New cases of the disease,Total number of people at risk of developing the disease at that time,Total person-time of observation,D
38,04: Measures of disease frequency,Which of the following condition tends to reduce the prevalence of a particular disease?,High cure rate,Low case fatality ratio,Improved case detection rate,Immigration of diseased people,A
39,04: Measures of disease frequency,"In which of the following conditions, prevalence is an appropriate measure of disease frequency?",Common cold episodes in elderly,Number of exacerbations in asthma patients,Proportion of foot ulcers in Diabetes Mellitus,Number of diarrhoea episodes in children,C
40,04: Measures of disease frequency,a) It reflects the severity of a disease,High case fatality indicates poor prognosis,It relates the number of deaths to the,Number of cases of a disease,It is a true rate,D
41,05: Descriptive study designs,Case series are useful-,To estimate burden of a disease,To determine risk factor of a disease,To determine efficacy of a new drug,To describe uncommon clinical manifestation,D
42,05: Descriptive study designs,"All the following are true about cross-sectional survey, EXCEPT-",Individual is the unit of observation,Involves only incident cases,Estimate the burden of a disease,It can be used to generate hypothesis,B
43,05: Descriptive study designs,"A detailed presentation of a single case which is rare and unfamiliar, is called-",Case report,Case series,Ecological study,Cross-sectional study,A
44,05: Descriptive study designs,Which of the following is INCORRECT about ecological study?,It relates the rate of disease and frequency of exposure,It is an example of observational study,It uses individual level data,It helps in generating hypothesis,C
45,05: Descriptive study designs,Which of the following is not applicable in a case study?,Clinical features,Laboratory parameters,Socio-demographic background,Incidence,D
46,05: Descriptive study designs,"To determine the association between air pollution and male infertility, data on air quality index and prevalence of male infertility was collected for 183 countries for the year 2019. What best describes the study?",Case report,Case series,Ecological study,Cross-sectional study,C
47,05: Descriptive study designs,"In a medical journal, 18 cases of Creutzfeldt Jakob disease were reported from a tertiary care hospital in Sikkim. The authors of the paper gave a description of the socio-demographic, clinical, and laboratory features of the 18 patients. What best describes this study design?",Case study,Case series,Case control study,Ecological study,B
48,05: Descriptive study designs,Which of the following is FALSE about cross-sectional studies?,Can be used to generate hypothesis,Can be used to establish temporality of association,Can be used to estimate disease burden,Can be used to identify factors associated with outcome,B
49,05: Descriptive study designs,Descriptive cross-sectional study does not have a comparison group,TRUE,FALSE,,,A
50,05: Descriptive study designs,Which of the following studies can be used to identify the factors associated with an outcome?,Descriptive,Analytical cross-sectional study,Case study,Case series,B
51,06: Analytical study designs,"A study was conducted to determine the factors associated with malnutrition in under-5 children. The researcher screened 350 children from 25 randomly selected villages. Among them 150 children were either underweight and/or stunted. Socio-demographic characteristics, birth history, and childhood clinical history were recorded for the screened children. What is the type of the study design used here?",Descriptive cross-sectional study,Analytical cross-sectional study,Case control study,Prospective cohort study,B
52,06: Analytical study designs,"A gynaecology resident intends to determine the association between pre-pregnancy weight and the risk of preeclampsia. The investigator recruited 50 women diagnosed with preeclampsia as cases and 50 women without preeclampsia as controls in a tertiary care hospital. Both cases and controls were interviewed and asked about their pre-pregnancy weight and height. The pre-pregnancy body mass index (BMI) was calculated for all. Among the cases, 15 women with preeclampsia and 5 women without preeclampsia had BMI > 25 kg/m2. Calculate the odds ratio for the association between preeclampsia and BMI.",1.1,1.5,2.8,3.8,D
53,06: Analytical study designs,Which of the following is correct about selection of cases in case-control study?,Cases are the study participants in the source population who are exposed,Selection of cases and controls should be based on the exposure,Including incident cases in case-control study can save time and money,Including prevalent cases may lead to survival bias,D
54,06: Analytical study designs,Which of the following is an element of a case control study?,It starts with selection of study participants who are exposed,It involves matching of cases with controls,It includes randomization of cases and controls,It involves prospective follow up of the cases and controls,B
55,06: Analytical study designs,"A study was conducted to determine the association between coronary artery disease and age-related macular degeneration in people aged 60 years or more. The investigators included 150 participants with age-related macular degeneration and 150 participants without age-related macular degeneration. The participants were interviewed for major risk factors for the disease. Among participants with age-related macular degeneration, 25 had history of coronary artery disease while among those without age-related macular degeneration, only 10 had history of coronary artery disease. Identify the study design in this case?",Cross-sectional study,Case control study,Prospective cohort study,Experimental study,B
56,06: Analytical study designs,"A cohort study was conducted to examine the association between anemia and incidence of dementia in patients with newly diagnosed type 2 diabetes mellitus. The study included 4000 participants aged more than 30 years who were diagnosed with type 2 diabetes between 2006 and 2010 and were followed up until 2019. Anemia status was recorded at the time of enrolment into the study and development of dementia was recorded between 2011 and 2019. At the end of the study period, 200 diabetics developed dementia in total. Among those with dementia 90 were diagnosed with anaemia while among those without dementia, 1400 had anemia. Calculate the measure of association between dementia and anemia in type 2 diabetics.",1,1.4,2.1,2.5,B
57,06: Analytical study designs,"In 2020, a study was conducted by a researcher to determine the relationship between implanted medical devices and connective tissue diseases. The researcher selected 5000 individuals who had a medical device implanted between 2000 and 2002 from the medical records department of a hospital. These patients’ records were followed upto the year 2019 for a diagnosis of connective tissue disease. It was observed that 20% of the individual with medical devices had developed a connective tissue disease. Identify the study design in this case.",Cross-sectional study,Case control study,Prospective cohort study,Retrospective cohort study,D
58,06: Analytical study designs,All of the following are true about cohort study EXCEPT,It is can be expensive and time consuming,It is appropriate for diseases with long latency period,Incidence of disease can be determined,Loss to follow up can introduce bias,B
59,06: Analytical study designs,All of the following are types of analytical studies EXCEPT,Case study,Case control study,Experimental study,Cohort study,A
60,06: Analytical study designs,a) The incidence of asthma in children exposed to second-hand smoke is lower than the children not exposed to second-hand smoke,The incidence of asthma in children exposed to second-hand smoke is higher than the children not exposed to second-hand smoke,The inciden,of second-hand smoke is lower in children with asthma than in children without asthma,The incidence of second-hand smoke is higher in children with asthma than in children without asthma,A
61,07: Experimental study designs: clinical trials,"State whether True or False. In a randomized controlled trial, the investigator is unaware of the sequence of allocation of the participants to one of the study arms before and until the assignment is complete. This process is known as allocation concealment.",TRUE,FALSE,,,A
62,07: Experimental study designs: clinical trials,Which of the following is NOT a feature of randomized controlled trials?,Simple random sampling,Randomization,Allocation concealment,Blinding,A
63,07: Experimental study designs: clinical trials,A research group from a medical college in Lucknow conducted a study to assess the efficacy of a new herbal medicine for the prevention of pneumonia in elderly. What type of randomized controlled trial is this study?,Screening RCT,Diagnostic RCT,Therapeutic RCT,Prophylactic RCT,D
64,07: Experimental study designs: clinical trials,In which type of population is a phase-I vaccine trial conducted?,Healthy volunteers,High risk group,Diseased population,Laboratory animals,A
65,07: Experimental study designs: clinical trials,"State whether true or false. Randomization is a process, where the participants have an equal chance of being assigned to any one of the study groups.",TRUE,FALSE,,,A
66,07: Experimental study designs: clinical trials,Which of the following is NOT an advantage of randomized controlled trials?,Provides the highest level of evidence,Controls for selection and confounding bias,Establishes temporality of association,Entails minimal ethical issues,D
67,07: Experimental study designs: clinical trials,Post-marketing surveillance is done in which of the clinical trial phases?,Phase 1,Phase 2,Phase 3,Phase 4,D
68,07: Experimental study designs: clinical trials,State whether true or false. Randomized controlled trials are retrospective in nature.,TRUE,FALSE,,,B
69,07: Experimental study designs: clinical trials,"In a clinical trial conducted by the Orthopaedic department of a medical college in Bhubaneshwar, the investigators compared the wound healing time between conventional suturing technique and stapling technique for open fractures. The investigators, patients and data analysts were aware about the treatment assignment. What best describes this study design?",Open-label RCT,Single blind RCT,Double blind RCT,Triple blind RCT,A
70,07: Experimental study designs: clinical trials,Blinding in a randomized controlled trial addresses which of the following biases?,Ascertainment bias,Recall bias,Volunteer bias,Attrition bias,A
71,08: Validity of epidemiological studies,Which of the following is the best method of ensuring that the experimental and control arms in a experiment study are similar with regard to known and unknown confounders at the planning stage?,Matching,Randomization,Stratification,Multivariate analysis,B
72,08: Validity of epidemiological studies,"When the study findings are generalizable to the target population, the study is considered to be-",Internally valid,Reliable,Accurate,Externally valid,D
73,08: Validity of epidemiological studies,Which of the following can introduce selection bias in a case control study?,Differential recall about exposure by the cases,Collecting data differently from the exposed and unexposed,Inclusion of controls not representative of the target population,Systematic distortion of the truth by the study participants,C
74,08: Validity of epidemiological studies,Which of the following is TRUE about information bias in a cohort study?,It is caused by higher attrition rate among the exposed group,It can be caused by selecting controls from the community,It can be avoided by uniform outcome ascertainment,It can be minimised by reducing loss to follow-up,C
75,08: Validity of epidemiological studies,Which of the following is NOT a systematic error in an epidemiological study?,Random error,Confounding,Selection bias,Information bias,A
76,08: Validity of epidemiological studies,Which of the following measures is related to ensuring the internal validity of a study?,Using a validated study questionnaire to assess outcomes,Including an adequate number of study participants,Complying strictly with the study protocol,All the above,D
77,08: Validity of epidemiological studies,Which of the following is FALSE about confounding in epidemiological studies?,Confounding may simulate an association when it does not exist,Confounding does not increase or decrease the strength of the association,Confounding may hide an association that exists,Confounding may change the direction of an exposure-outcome association,B
78,08: Validity of epidemiological studies,Intentional collection of data by an investigator supporting an expected conclusion in an epidemiological study may result in-,Confounding,Information bias,Selection bias,Random error,B
79,08: Validity of epidemiological studies,Which of the following is NOT a method of dealing with confounding during the design stage?,Restriction,Stratification,Matching,Randomization,B
80,08: Validity of epidemiological studies,"In a cohort study to examine the association between obesity and cardiovascular disease, gender was suspected to be a confounder. Which of the following methods will help in examining the confounding effect due to gender?",Matching,Restriction,Randomisation,Multivariate regression,D
81,09: Qualitative research studies: An overview,Which of the following characteristics is NOT related to qualitative research data?,Subjective validity,Data is in text form,Hypothesis testing is a goal,It involves interpretation of responses,C
82,09: Qualitative research studies: An overview,Which of the following cannot be done using qualitative research?,Viewing a social phenomenon holistically,Estimating the burden of a disease,Seeking in-depth understanding of a phenomenon,Unfamiliar subject matter,B
83,09: Qualitative research studies: An overview,A researcher wants to estimate the prevalence of exclusive breast feeding in a remote tribal population. She also wants to understand the myths and taboos associated with breast feeding. Which of the following approaches can be employed in this scenario?,Qualitative study,Clinical trial,Mixed-methods study,Cross-sectional study,C
84,09: Qualitative research studies: An overview,Which of the following is NOT a data collection method used in qualitative research?,Interviews,Sociogram,Participant observation,Focus group discussion,B
85,09: Qualitative research studies: An overview,Which of the following is NOT a feature of ‘In-depth interviews’?,It involves two or more participants at a time,It follows an interview guide,It is suitable for a highly sensitive topic,It obtains rich contextualized information,A
86,09: Qualitative research studies: An overview,Which of the following is an advantage of conducting ‘in-depth interviews’?,It expresses the ‘Emic’ perspective,It is generalizable,It is a quick process,It uses a systematic sampling approach,A
87,09: Qualitative research studies: An overview,"State whether true or false. In a focus group discussion, it is easy to obtain personal behaviours on a sensitive issue",TRUE,FALSE,,,B
88,09: Qualitative research studies: An overview,Which of the following is TRUE regarding ‘participant observation’ method?,It is easy to analyze the data,The researcher himself becomes a part of the study group,Data obtained is very concise,The researcher interviews each participant in detail,B
89,09: Qualitative research studies: An overview,State whether true or false. Data obtained from Focus Group Discussion may be sensitive to biased analysis.,TRUE,FALSE,,,A
90,09: Qualitative research studies: An overview,The analytical approach where the researcher proceeds to develop a theory based on learnings obtained from the data is called-,Grounded theory analysis,Content analysis,Schema analysis,Factor analysis,A
91,10: Measurement of study variables,"When the dataset contains too many extreme values, the most representative average value is-",Mean,Mode,Median,Variance,C
92,10: Measurement of study variables,"Ages of ten pregnant women who visited an ANC clinic are given below. What is the mean age of this group? (26, 31, 25, 26, 30, 27, 25, 32, 25 and 33 years).",45,28,25,32,B
93,10: Measurement of study variables,Which of the following is a relative measure of dispersion when comparing variables which are measured in different units?,Inter-quartile range,Coefficient of variation,Range,Standard deviation,B
94,10: Measurement of study variables,"The following scores were obtained by ten medical students in a quiz: (5, 3, 6, 8, 7, 8, 3, 11, 6, 3) What is the median score of this group?",3,6,8,11,B
95,10: Measurement of study variables,‘Height of the students in a particular class’ is an example of a continuous variable,TRUE,FALSE,,,A
96,10: Measurement of study variables,What is the appropriate measure of dispersion to report when median is reported as the measure of central tendency for a given set of data?,Standard deviation,Inter-quartile range,Variance,Coefficient of variance,B
97,10: Measurement of study variables,"In the NCD clinic of a primary health centre, haemoglobin (in g/dL) of 10 patients was measured. The following values were obtained 5,4,9,8,4,8,3,7,7,8. What is the mean haemoglobin of this group?",5,6.3,7,8,B
98,10: Measurement of study variables,Which of the following about ‘Range’ is TRUE?,It indicates the way in which values cluster about a particular point,It gives the number of observations bearing the same value,It is the difference between the minimum and maximum value,It shows the degree to which the mean value differs from its expected value,C
99,10: Measurement of study variables,"In a survey, socio-economic status (SES) was collected in the following manner – ‘Lower, Lower Middle, Upper Middle and Upper’. What type of variable is SES?",Ordinal,Nominal,Continuous,Discrete,A
100,10: Measurement of study variables,"Calculate the interquartile range of the following body weights(in Kg) of children who attended a paediatric OPD. (7, 12, 11, 13.5, 8.5, 16, 7, 11, 12)","7, 16","8.5, 12","11, 12","12, 13.5",B
101,11: Sampling methods,Which of the following sampling method ensures that valid conclusions can be drawn about different subgroups in a population?,Simple random sample,Systematic random sample,Stratified random sample,Cluster random sample,C
102,11: Sampling methods,What of the following about simple random sampling method is FALSE?,It needs a complete list of the units in the target population,Purposive sampling is a type of simple random sample,It draws units from the target population randomly,It gives equal chance of selection to every unit in the target population,B
103,11: Sampling methods,Sampling achieves,Efficient utilization of resources,Elimination of random error,Accurate results,Complete enumeration of population,A
104,11: Sampling methods,"In simple random sampling, the probability of selection of each individual is-",Unequal,Equal,Unknown,One,B
105,11: Sampling methods,Which one of the following biases is prevented by an appropriate sampling technique?,Volunteer bias,Interviewer’s bias,Social desirability bias,Recall bias,A
106,11: Sampling methods,"In a neighborhood with 5000 houses, a researcher wants to obtain a systematic random sample of 50 houses. What will be the sampling interval in this case?",1000,100,0.1,0.01,B
107,11: Sampling methods,Which one of the following statement about cluster sampling is FALSE?,Units within a cluster are heterogenous,Sampling frame of the entire study area is not required,Variability between clusters is assumed to be high,Sampling error is difficult to measure,C
108,11: Sampling methods,Which one of the following statements about multistage sampling is TRUE?,It saves resources as compared to simple random sampling,It requires a complete listing of the entire population,It’s sampling error can be easily measured,It is not suitable for sampling from a large population,A
109,11: Sampling methods,Which one of the following about stratified random sampling is FALSE?,Units within a strata are homogenous,Sample is taken from every strata,Precision improves with low numbers sampled in each stratum,Stratum specific estimates are weighted to obtain the overall estimate,C
110,11: Sampling methods,State whether True or False: Commonly used statistical inferences have the assumption of a probability sample.,TRUE,FALSE,,,A
111,12: Calculating sample size and power,"In a cross-sectional study, a group of researchers wanted to estimate the prevalence of cephalosporin-resistant E.coli among adult males with urinary tract infections. From previous literature, the prevalence was found to be 6.5%. If the researchers want to estimate the prevalence with a 20% relative precision and 95% significance level, what is the minimum sample size required?",1042,1342,6,600,B
112,12: Calculating sample size and power,Which of the following factors is NOT essential for calculating sample size for a single mean estimation?,Need for statistical significance,Assumptions about population standard deviation,Precision,Significance level,A
113,12: Calculating sample size and power,Adjustments to a calculated sample size need NOT be done for which of the following reasons?,Non-response rate,Finite population size,Cluster design,Study setting (hospital/community),D
114,12: Calculating sample size and power,State whether true or false. Findings from a pilot study can be generalized to the entire population.,TRUE,FALSE,,,B
115,12: Calculating sample size and power,A cross-sectional study aims to estimate the prevalence of Hydatid liver disease among patients undergoing Ultrasonography in a tertiary care hospital. Which of the following is parameters is NOT required?,Significance level,Assumed prevalence,Precision,Population variance,D
116,12: Calculating sample size and power,What is Type I error?,The probability of accepting the null hypothesis when it is false,The probability of rejecting the null hypothesis when it is true,The probability of rejecting the null hypothesis when it is false,The probability of accepting the null hypothesis when it is true,B
117,12: Calculating sample size and power,Ability of a study to detect correctly the presence of an association is known as-,Precision,Power,Confidence,Significance,B
118,12: Calculating sample size and power,Standard deviation of a sampling distribution is called systematic error,TRUE,FALSE,,,B
119,12: Calculating sample size and power,Design effect is considered for which of the following sampling strategy?,Cluster sampling,Simple random sampling,Stratified random sampling,Non-probability sampling,A
120,12: Calculating sample size and power,"In a hospital based cross-sectional study, it is planned to estimate the mean D-dimer level among COVID-19 patients. From previous literature, the standard deviation was found to be 200 ng/mL. If the researchers want to estimate the mean with a 50 ng/mL precision and 95% significance level, what is the minimum sample size required?",62,16,31,248,A
121,13: Study population,Which of the following helps to minimize the random error in a research study?,Limited study duration,Adequate sample size,Adequate budget,More than six investigators,B
122,13: Study population,Representativeness of the study participants similar to the population of interest can help in which of the following aspects of a research study?,Generalizability of the findings,Internal validity,Reduce information bias,Minimize recall bias,A
123,13: Study population,"An investigator intends to estimate the prevalence of Urinary Tract Infection (UTI) among circumcised children (<5 years old) in Jaipur city. However, the researcher selects the study participants from one government hospital. Which of the following is the target population in this study?",All children aged <5 years in the city,All circumcised children aged <5 years in the city,All circumcised children aged <5 years attending the government hospital,All children having UTI in the city,B
124,13: Study population,Which of the following is the accessible population in the above study?,All children aged <5 years in the city,All circumcised children aged <5 years in the city,All circumcised children aged <5 years attending the government hospital,All children having UTI in the city,C
125,13: Study population,State whether true or false. High non-response rate in a study may affect the internal validity,TRUE,FALSE,,,A
126,13: Study population,Which of the following is TRUE about study validity?,An internally valid study result is always generalizable to the target population,An internally valid study result may or may not be generalizable to the target population,An externally valid study result is not generalizable to the target population,A study without internal validity can be generalized to the target populatioin,B
127,13: Study population,Which of the following statements on study populations is TRUE?,Study sample is a subset of the accessible population,Target population is a subset of the accessible population,Accessible population is a subset of the study sample,Target population is a subset of the study sample,A
128,13: Study population,State whether true or false. Biases can affect both internal and external validity.,TRUE,FALSE,,,A
129,13: Study population,"eiving rotavirus vaccine, which of the following can be a likely exclusion criterion?",Children who may leave the study area within a month,Children aged 0 months to 24 months,Children without pre-existing intestinal anomalies,Children who have not received rotavirus vaccine previously,A
130,13: Study population,"In a cohort study planned to estimate the incidence of birth defects among Zika virus infected pregnant women in Chennai city, which of the following CANNOT be an inclusion criterion?",First trimester pregnant women with lab-confirmed Zika virus infection,Pregnant women who are permanent residents of Chennai city,Pregnant women aged above 18 years,Pregnant women taking drugs known to cause birth defects,D
131,14: Study plan and project management,Which of the following is ideally the first step in developing a study?,Fixing the title,Formulating the research question,Writing the background,Planning for analysis,B
132,14: Study plan and project management,Which of the following is a reason for the failure of a study?,Poorly stated research question,Unrealistic timeline,Inadequate supervision,All the above,D
133,14: Study plan and project management,"Which of the following represents the correct sequence in the life cycle of a study?
i. Developing research question
ii. Planning the data analysis
iii. Data collection
iv. Data analysis","i, iii, iv, ii","i, ii, iii, iv","i, iii, ii, iv","ii, iii, iv, i",B
134,14: Study plan and project management,Which of the following factor is NOT essential for effective planning and management of a study?,Time management,Financial management,Reduction of sample size,Team work,C
135,14: Study plan and project management,Which of the following is to be followed while collecting the information elements?,Use of variables that best reflect the information element,Standardized case definitions,Use of validated and standardised methods,All the above,D
136,14: Study plan and project management,State whether true or false. Framing several study objectives improves the study planning and management,TRUE,FALSE,,,B
137,14: Study plan and project management,State whether true or false. Selection of study design should be related to the objectives.,TRUE,FALSE,,,A
138,14: Study plan and project management,A postgraduate wants to do a community based thesis. Which of the following is a part of the planning and program management of the study?,Calculating sample size,Arranging transport to community,Writing thesis,All the above,D
139,14: Study plan and project management,"Which of the following can be used to represent the duration, timeline and sequence of activities and milestones of a research project?",Bar chart,Histogram,Gantt chart,Pie chart,C
140,14: Study plan and project management,Who is primarily responsible for resource allocation and time management in a study?,Institute where the research is conducted,Principal investigator,Funding agency,Scientific committee,B
141,15: Designing data collection tools,Which one of the following is NOT a component of a data collection tool?,Informed consent,Concluding statements,Identifiers,Tabulated results,D
142,15: Designing data collection tools,Which of the following is TRUE about a data abstraction form?,It is used to collect data by going through records,It is more valid than a questionnaire,It can be self-administered by the participants,It is also called an observational checklist,A
143,15: Designing data collection tools,Which of the following is FALSE about a questionnaire?,It can contain instructions or prompts for data collectors,It should contain unique participant identifiers,It should avoid skip patterns,It can contain a mix of open and closed questions,C
144,15: Designing data collection tools,Identify the type of the question given below. “How do you spend your leisure time?_____________ (Write any two activities)”,Open ended,Closed,Semi-open,Open question with closed answers,A
145,15: Designing data collection tools,Which of the following is TRUE about ‘Open question with closed answers’?,Its answers are not suggested to the participants,It can be used in a self-administered questionnaire,It is analyzed like an open ended question,It is expressed as a closed question to the participants,A
146,15: Designing data collection tools,v.Others (specify)________________,Open ended,Closed,Semi-open,Open question with closed answers,C
147,15: Designing data collection tools,Which of the following is FALSE about formulating questions in a study tool?,They must be concise and precise,They must use scientific terms,They must use a neutral tone,They must avoid double negatives,B
148,15: Designing data collection tools,“When and where did you get tested for COVID-19 infection?”,Using a neutral tone,Avoiding use of double negatives,Asking a single question at a time,Using simple words of everyday language,C
149,15: Designing data collection tools,"State whether true or false. Before using a data collection tool in the study, it will be useful to get it reviewed by a statistician.",TRUE,FALSE,,,A
150,15: Designing data collection tools,What is FALSE about pilot testing of a study questionnaire?,It checks the tool for clarity and acceptability,It is conducted among persons who will be included in the study,It provides an estimate of the duration of interview,Changes are made to the questionnaire based on its findings,B
151,16: Principles of data collection,The ability of an instrument to produce similar results on repeated measurement is called,Validity,Reliability,Accuracy,Internal validity,B
152,16: Principles of data collection,"The mean value of fasting blood sugar among 50 healthy volunteers in a community was found to be 90 mg/dL using a new diagnostic test. In the same volunteers, the gold standard test found a mean of 88 mg/dL. What can be said about the new diagnostic test?",The new diagnostic test is valid,The new diagnostic test is reliable,The new diagnostic test is valid and reliable,The new diagnostic test is invalid and unreliable,A
153,16: Principles of data collection,Which of the following is NOT used as a criteria to judge the quality of data collected in a study?,Accuracy,Repeatability,Precision,External validity,D
154,16: Principles of data collection,Which of the following should NOT be done during data collection in a study?,Referring to the data collection guide,Checking the quality of data,Modifying the study objectives,Validating the data collection process,C
155,16: Principles of data collection,State whether true or false. Accuracy of an instrument is the ability to measure what it is intended to measure.,TRUE,FALSE,,,A
156,16: Principles of data collection,"Which of the following is the correct sequence of steps of data collection?
i.Preparation of data collection guide
ii.Checking the collected data for completeness
iii.Training of the data collector
iv.Validating the collected data","i, iv, iii, ii","ii, iii, iv, i","i, iii, ii, iv","iii, i, iv, iii",C
